"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Fe","Cu","Cr","Zn","Ni","NH3N","HW17"
"2993","2","0","1","0","0","0","0","0","0","1","0","1",152.342,7.506774194,0.005176094,1582.638,7.25895813,0.114498372,0.965376222,0.059267118,0.026481904,0.179227366,0.004210923,0.735910972,2.035
"3994","2","1","0","1","1","0","0","0","0","0","0","1",81.11346699,7.330967742,0.022093059,6755.155,30.98332487,0.488712041,4.120503876,0.040149831,0.113032395,0.764994042,0.002700327,4.928825184,12.9
"2432","2","1","0","1","1","0","0","0","0","0","0","1",80.24787675,7.278,0.001383442,423,1.94014,0.030204089,0.258021191,0.015840635,0.007077958,0.047903043,0.006420797,0.397610804,16.99
"2924","1","1","0","1","1","0","0","0","0","0","0","1",29.549,7.5903889,0.003599853,1100.688,5.048436917,0.07963096,0.671396759,0.041218905,0.018417549,0.124648474,0.02351008,0.511809002,19.784
"3421","3","1","0","1","1","0","0","0","0","0","0","1",9.613476,7.19009571,0.002403853,735,1.411363,0.018154,0.448334694,0.027524507,0.012298579,0.083235784,0.011156704,0.049157,20.15
"814","1","1","0","1","1","0","0","0","0","0","0","1",340.29,7.016296296,0.007133556,2181.15,10.00410487,0.15779864,1.330456078,0.08168038,0.036496662,0.247006435,0.03310809,1.014213116,4.5
"4015","2","1","0","1","1","0","0","0","0","0","0","1",86.39997354,7.323756667,0.012152444,3715.721,17.04259797,0.26881953,2.266512431,0.13914747,0.062174272,0.420790408,0.056401634,1.727773409,12.45
"146","2","1","0","1","1","0","0","0","0","0","0","1",0.00739431,7.473833334,1.04e-06,0.318,0.001458545,2.3e-05,0.000193973,1.19e-05,5.32e-06,3.6e-05,4.83e-06,0.000147867,0.435
"4709","2","0","1","0","0","0","0","0","0","1","0","1",19.31119296,7.869354839,0.00187126,830.498,3.809178226,0.060083651,0.506586485,0.031100746,0.003274384,0.094050547,0.008421294,0.386173332,7.9
"1527","1","0","1","0","0","0","0","0","0","0","0","0",0.186020368,7.473833334,2.62e-05,8,0.036692955,0.000578772,0.004879833,0.000299586,0.000133862,0.000905968,0.000121434,0.003719921,0.093
"4821","3","1","0","1","1","0","0","0","0","0","0","1",94.695331,7.418709677,0.016545703,5059,38.6291134,0.234401127,3.085884648,0.189450997,0.084651038,0.572911333,0.024291902,1.060346,23.713
"2889","2","1","0","1","1","0","0","0","0","0","0","1",66.697603,7.724666667,0.00938124,2868.4,13.15625904,0.207518794,1.749664267,0.107416731,0.004592504,1.019,0.011350823,1.333777549,32
"899","2","0","1","0","0","0","0","0","0","1","0","1",201.3214038,7.473833334,0.028316526,8658.037,39.71112034,0.626378956,5.281222269,0.324228848,0.144872864,0.980487749,0.131421986,4.025901327,2.33
"1560","4","1","0","1","1","0","0","0","0","0","0","1",261.818,7.831333333,0.018856803,5765.64,26.44479619,0.417124062,3.516920333,0.215913471,0.096475077,0.652935461,0.087517743,6.1915,15.245
"2221","2","0","1","0","0","0","0","0","0","1","0","1",253.146081,7.173703704,0.006076678,1858,8.521938817,0.382436,1.133341308,0.159483342,0.03108947,0.210411002,0.050490145,3.269351,3.05
"3365","3","1","0","1","1","0","0","0","0","0","0","1",1222.5,7.835483871,0.023042025,7045.31,16.76,2.95,4.297492384,0.0568,0.117887489,0.797852924,0.00028169,0.37,5.013
"2056","3","1","0","1","1","0","0","0","0","0","0","1",165.6633,7.238064516,0.001029685,6318.30085,28.97964116,0.457107158,3.854031942,0.236609685,0.069415,0.206994,0.002639704,2.937947225,41.646
"2569","1","0","1","0","0","0","0","0","0","0","0","0",5.185317762,7.473833334,0.000729332,223,1.022816123,0.016133277,0.136025356,0.008350973,6.313309425,0.02525385,0.003384959,0.103692788,0.64
"4615","3","1","0","1","1","0","0","0","0","0","0","1",680.6604323,7.478306452,0.089,29272.512,134.261871,2.117764743,17.85562273,1.096206087,0.144,3.314993848,1.515,13.61142773,17.421
"3893","1","0","1","0","0","0","0","0","0","1","0","1",11.7466,7.553079194,0.002576993,1181.3401,5.418357403,0.08546586,0.72059286,0.04423919,0.019767082,0.0209,0.017931786,0.549311429,10.0055
"4556","2","0","1","0","0","0","0","0","0","1","0","1",23.91901049,7.446296296,0.026,1028.662,4.718081069,0.074420129,0.627462398,0.038521653,0.082,0.11649182,0.047,0.478317627,4.85
"4784","3","0","1","0","0","0","0","0","0","1","0","1",2.610423214,7.473833334,5.47e-05,16.726,0.076715796,0.001210068,0.010202512,0.00062636,0.000279872,0.001894152,0.000402359,0.007777424,0.6
"4329","4","0","1","0","0","0","0","0","0","1","0","1",12.513,7.473833334,0.002491235,761.718,3.493710544,0.055107656,0.464632117,0.028525051,0.012745645,0.086261489,0.011562262,0.166,2.695
"4000","3","0","1","1","0","0","0","0","0","1","1","0",5.267492259,7.473833334,0.00074089,226.534,1.039025236,0.016388949,0.138181023,0.008483315,0.003790539,0.025654061,0.003438603,0.105336063,8.582
"3017","1","0","1","0","0","0","0","0","0","1","0","1",6.793947,6.908214286,0.001237529,378.385679,1.73551109,0.027374892,0.230807384,0.014169904,0.006331437,0.042850651,0.005743588,0.951926,1.734
"4249","2","0","1","0","0","0","0","0","0","1","0","1",3.832252109,7.406,0.000539019,164.81,0.755920741,0.011923432,0.100530668,0.006171856,0.002757726,0.018664067,0.002501682,0.076635015,2.2
"818","3","1","0","1","1","0","0","0","0","0","0","1",33.49787,7.659709889,0.007718493,2360,3.786242137,0.002913125,1.439550854,0.08837801,0.000331875,0.267260476,0.035822888,0.56143,18.43
"4197","2","0","1","1","0","0","0","0","0","1","1","0",0.090312889,7.473833334,1.27e-05,3.884,0.01781443,0.000280994,0.002369159,0.000145449,6.5e-05,0.000439847,5.9e-05,0.001806021,5.527
"1877","3","0","1","0","0","0","0","0","0","1","0","1",29.86719778,7.473833334,0.004200921,1284.47,5.891375001,0.092926951,0.783499951,0.04810123,0.02149273,0.145461044,0.019497214,0.59726581,1.525
"2735","1","0","1","0","0","0","0","0","0","1","0","1",1.3638,7.585666667,0.000477214,145.9126,0.66924556,0.010556271,0.089003647,0.00546418,4e-04,0.016524013,0.002214835,0.0954,1.74
"1451","2","0","1","0","0","0","0","0","0","0","0","0",36.64,7.0172,0.001338743,409.333,1.877454673,0.029613823,0.249684606,0.015328829,0.006849271,0.04635531,0.006213343,2.96,0.4835
"3794","3","1","0","1","1","0","0","0","0","0","0","1",14.422163,7.836956522,0.002394041,732,3.35740539,0.032691,0.446504756,0.027412162,0.004799748,0.082896046,0.032246682,0.35203,12.8
"4603","1","0","1","0","0","0","0","0","0","1","0","1",35.88844457,8.066333333,0.0573,1543.42,7.079080091,0.111661085,0.941454059,0.05779847,0.025825678,0.174786086,0.001,0.717674991,3.763
"1284","3","1","0","1","1","0","0","0","0","0","0","1",5.82066,7.406935484,0.005458545,1669,7.655067753,0.111964943,1.018055244,0.053993,0.027926978,0.189007514,0.001724,0.304163,1.1
"615","1","0","1","0","0","0","0","0","0","0","0","0",17.14786909,7.473833334,0.002411905,737.462,3.382457505,0.053352819,0.449836463,0.126,0.012339775,0.083514595,0.007528118,0.342912515,0.03
"209","3","1","0","1","1","0","0","0","0","0","0","1",27.5539,7.306,0.005510874,1685,7.728453663,0.121903907,1.02781491,0.063100401,0.028194702,0.19081945,0.01,1.443205,15.75
"1820","4","1","0","1","1","0","0","0","0","0","0","1",0.006770142,6.93883295,9.52e-07,0.291157,0.001335426,2.11e-05,0.0001776,1.55e-06,5.84e-06,1.94e-05,4.42e-06,0.000135385,30.925
"2564","1","0","1","0","0","0","0","0","0","0","0","0",7.138531627,7.473833334,0.001004058,307,1.408092151,0.022210386,0.187263607,0.011496631,8.691417011,0.034766511,0.004660011,0.142751955,0.1
"3902","1","0","1","0","0","0","0","0","0","1","0","1",9.16633966,7.812142857,0.011,394.208,1.808082054,0.028519582,0.240458671,0.014762423,0.006596188,0.044642465,0.005983758,0.18330281,8.062
"2979","2","0","1","0","0","0","0","0","0","1","0","1",26.476279,7.772258065,0.003723977,1138.64,5.222508296,0.082376656,0.694546688,0.042640143,0.019052591,0.128946385,0.017283633,0.529456306,2.5
"373","3","1","0","1","1","0","0","0","0","0","0","1",6.71907895,7.052244893,0.000945061,288.961,1.325354124,0.020905326,0.176260192,0.010821101,0.057,0.032723667,0.004386194,0.134363999,17.58
"509","3","1","0","1","1","0","0","0","0","0","0","1",21.39234234,7.473833334,0.00200696,920,4.219689834,0.06655881,0.561180841,0.034452445,0.01539414,0.104186287,0.002717188,0.427790875,11.54
"4640","1","0","1","0","0","0","0","0","0","1","0","1",5.768049818,6.760714286,0.002074389,248.061,1.137761391,0.017946353,0.151312044,0.009289465,0.002,0.028091907,0.003,0.115345905,4.26
"993","4","0","1","0","0","0","0","0","0","1","0","1",1058.29,6.845483871,0.038203272,11681,53.57630103,0.845079847,7.125166747,0.31,0.195455382,1.322826109,0.177308115,41.3,4.092
"2019","1","0","1","0","0","0","0","0","0","1","0","1",6.882753621,7.473833334,0.000968082,296,1.357639338,0.021414574,0.180553836,0.0110847,0.004952897,0.033520805,0.00449304,0.137637064,3.346
"4176","2","0","1","0","0","0","0","0","0","1","0","1",11.13645813,7.473833334,0.00156638,478.935,2.196692555,0.034649287,0.292140376,0.017935306,0.008013905,0.054237456,0.007269845,0.222700025,2.604
"4687","1","0","1","0","0","0","0","0","0","0","0","0",2.616567149,7.473833334,0.000368029,112.5282,0.516124023,0.008141025,0.068639859,0.004213991,0.001882907,0.012743365,0.001708087,0.052324497,0.88
"238","2","0","1","0","0","0","0","0","0","1","0","1",24.91735855,7.473833334,0.00350471,1071.597,4.915007573,0.077526327,0.653651854,0.040129496,0.017930777,0.121354036,0.016265974,0.498281976,1.6
"1193","1","0","1","0","0","0","0","0","0","1","0","1",17.31,8.042333333,0.002477568,757.539,3.474543062,0.05480532,0.462083015,0.028368555,0.012675719,0.085788235,0.011498828,0.352248121,2.6
"1519","3","1","0","1","1","0","0","0","0","0","0","1",8.50743,7.766666667,0.000285,952.364049,4.368131408,0.068900237,0.580922237,0.035664424,0.01593568,0.083175,0.014456115,0.442839836,11.96
"69","2","0","1","0","0","0","0","0","0","1","0","1",21.09,7.595666667,4.78e-05,1068,4.898509503,0.077266097,0.651457759,0.023386,0.000142903,0.12094669,2.65e-05,0.2,5.4
"3525","1","0","1","0","0","0","0","0","0","1","0","1",18.48577408,7.473833334,0.002600086,795,3.646362411,0.057515493,0.484933444,0.029771406,0.013302545,0.090030542,0.012067456,0.369667115,1.05
"1394","2","0","1","0","0","0","0","0","0","0","0","0",18.75656,7.427741935,0.007429847,2271.74355,10.419623,0.164352769,1.385716257,0.085072955,0.038012542,0.257265789,0.008996,1.056338218,0.2
"2820","2","1","0","1","1","0","0","0","0","0","0","1",32.91,6.957333333,0.003797139,1161.01,5.325110972,0.083995048,0.708191922,0.043477862,0.256,0.23,0.017623191,0.539858134,12.922
"2253","3","1","0","1","1","0","0","0","0","0","0","1",58.84,7.185789474,0.01,4095,18.78220638,0.296259051,2.497864723,0.06,0.068520657,0.463742224,0.02,1.75,31.29
"2515","2","0","1","0","0","0","0","0","0","1","0","1",43.2625,6.918129032,0.00142202,434.7955,1.994241469,0.031455947,0.265216201,0.0446,0.007275329,0.049238836,0.006599843,0.6943,1.248
"2648","1","0","1","0","0","0","0","0","0","0","0","0",0.478421134,7.473833334,0.162,20.575,0.094369694,0.00148853,0.012550322,0.000770499,0.000344277,0.002330036,0.000312312,0.009567171,0.9
"2395","2","0","1","0","0","0","0","0","0","0","0","0",11.48910624,7.473833334,0.001615981,494.101,2.266253225,0.035746494,0.301391321,0.018503247,0.008267674,0.055954944,0.007500053,0.229752064,0.2
"4003","3","0","1","1","0","0","0","0","0","1","1","0",7.966647801,7.473833334,0.001120536,342.614,1.571440014,0.024786935,0.208987405,0.012830315,0.005732878,0.038799653,0.005200603,0.159312112,9.674
"2777","1","0","1","0","0","0","0","0","0","0","0","0",0.634864264,7.473833334,8.93e-05,27.303,0.125228469,0.001975277,0.016654261,0.001022451,0.000456855,0.003091955,0.000414437,0.012695624,0.6
"2657","4","0","1","0","0","0","0","0","0","1","0","1",21.11121905,7.674193548,0.002969363,907.91,4.164237606,0.06568414,0.553806193,0.033999695,0.015191841,0.102817143,0.013781338,0.422169145,3.245
"2576","1","0","1","0","0","0","0","0","0","1","0","1",3.883175185,7.473833334,0.000546182,167,0.765965437,0.012081871,0.101866522,0.006253868,4.727904368,0.018912076,0.002534925,0.077653344,2.25
"2332","1","1","0","1","1","0","0","0","0","0","0","1",12.53297,7.521,0.002165103,662,3.036342033,0.032664474,0.403806214,0.024790781,0.011077088,0.074968828,0.010048624,1.875979,38.652
"3763","2","1","0","1","1","0","0","0","0","0","0","1",4.655,7.578938259,0.00238508,729.26,3.344838052,0.085691,0.444833413,0.027309554,0.012202533,0.082585752,0.011069576,0.387883,15.32
"2544","1","0","1","0","0","0","0","0","0","1","0","1",2.325254602,7.473833334,0.000327055,100,0.458661938,0.007234653,0.060997918,0.003744831,0.001673276,0.011324596,0.001517919,0.046499008,2.95
"1783","1","0","1","0","0","0","0","0","0","1","0","1",17.65091467,7.959333333,0.00248266,759.096,3.481684428,0.054917963,0.463032752,0.028426862,0.037,0.085964558,0.011522462,0.352972111,5.25
"1469","3","0","1","0","0","0","0","0","0","1","0","1",182.85,6.713153504,0.00664523,2031.84,9.319276731,3.42359151,1.239380088,0.076088973,0.033998293,0.23009768,0.030841685,75.25509481,2.35
"4596","1","0","1","0","0","0","0","0","0","1","0","1",35.03726187,7.442580645,0.004928108,1506.814,6.911182302,0.109012768,0.919125161,0.056427637,0.025213159,0.170640604,0.022872216,0.700653564,4.097
"4107","1","1","0","1","1","0","0","0","0","0","0","1",0.184462448,7.473833334,2.59e-05,7.933,0.036385652,0.000573925,0.004838965,0.000297077,0.000132741,0.00089838,0.000120417,0.003688766,1.043
"246","2","0","1","0","0","0","0","0","0","1","0","1",28.70805836,7.473833334,0.004037884,1234.62,5.662732025,0.089320476,0.753092489,0.046234432,0.020658601,0.139815732,0.018740531,0.574086054,4.99
"1829","2","0","1","0","0","0","0","0","0","1","0","1",0.026886919,7.400258065,3.78e-06,1.1563,0.005303508,8.37e-05,0.000705319,4.33e-05,1.93e-05,0.000130946,1.76e-05,0.000537668,5.3
"2694","1","0","1","0","0","0","0","0","0","1","0","1",0.072766518,7.473833334,1.02e-05,3.1294,0.014353367,0.000226401,0.001908869,0.000117191,5.24e-05,0.000354392,4.75e-05,0.00145514,2.53
"1255","2","1","0","1","1","0","0","0","0","0","0","1",37.61,7.672258065,0.002968905,907.77,4.163595479,0.065674012,0.553720796,0.074544688,0.08,0.14,0.08,5.64,22.15
"3303","3","1","0","1","1","0","0","0","0","0","0","1",269.2219762,7.473833334,0.007915838,2420.34,11.10117836,0.175103207,1.476356997,0.090637641,0.040498971,0.274093737,0.028290525,1.125434093,35.48
"560","2","1","0","1","1","0","0","0","0","0","0","1",34.43164931,7.473833334,0.004842926,1480.769,6.7917238,0.107128503,0.903238254,0.055452296,0.024777354,0.167691113,0.022476874,0.688542897,23.996
"2838","3","1","0","1","1","0","0","0","0","0","0","1",140.884,6.935,0.016693505,5104.192,23.41098597,0.369270593,3.113450827,0.191143361,0.085407225,0.578029145,0.01,2.373398652,24.097
"1206","2","0","1","0","0","0","0","0","0","1","0","1",26.7529186,7.335806452,0.003945929,1206.504,5.533774634,0.087286381,0.735942315,0.2048,0.3188,0.1582,0.176,0.585038712,4.085
"4485","4","0","1","1","0","0","0","0","0","1","1","0",57.932,7.300333333,0.001877834,574.165,2.633476319,0.041538847,0.350228693,0.021501509,0.009607366,0.065021869,0.008715359,7.547850587,18.32
"4104","1","1","0","1","1","0","0","0","0","0","0","1",0.036064699,7.473833334,5.07e-06,1.551,0.007113847,0.000112209,0.000946078,5.81e-05,2.6e-05,0.000175644,2.35e-05,0.0007212,0.487
"998","4","0","1","1","0","0","0","0","0","1","1","0",565.19,7.548387097,0.025866765,7909,36.27557271,0.572188726,4.824325298,0.246793,0.132339407,0.895662331,0.120052212,29.41,0.71
"2362","2","0","1","0","0","0","0","0","0","1","0","1",140.28845,7.433225806,0.003090668,945,4.334355319,0.580142,0.576430321,0.035388652,0.015812459,0.107017436,0.014344334,3.318445,7.78
"3390","1","1","0","1","1","0","0","0","0","0","0","1",40.491306,7.306339286,0.006315428,1931,8.856762032,0.035674,1.177869788,0.072312685,0.032310962,0.218677957,0.014485,0.897895847,26.65
"3897","1","1","0","1","1","0","0","0","0","0","0","1",96.16684304,7.473,0.017,7793.108,35.74402022,0.563804342,4.753633591,0.29183872,0.130400214,0.291,0.118293065,3.623717921,15
"572","2","1","0","1","1","0","0","0","0","0","0","1",49.79932673,7.473833334,0.007004441,2141.672,9.823034311,0.154942543,1.30637532,0.080201996,0.035836086,0.242535711,0.032508846,0.995856237,23.69
"4751","4","1","0","1","1","0","0","0","0","0","0","1",32.67488,7.82,0.008918785,2727,12.50771106,0.03,1.663413211,0.10212154,0.000357021,0.308821745,0.000143551,0.088291,22.71
"3960","2","0","1","0","0","0","0","0","0","1","0","1",27.12809437,7.4146,0.022,1166.672,5.351080411,0.084404674,0.711645624,0.043689894,0.019521644,0.132120896,0.017709136,0.542490908,4
"4723","3","1","0","1","1","0","0","0","0","0","0","1",1.886014007,7.747741935,0.000265274,81.11,0.372020698,0.005868027,1.88,0.003037432,0.001357194,0.01,0.001231184,0.037715345,18.3
"1","2","0","1","1","0","0","0","0","0","1","1","0",114.7,6.34962963,0.017626619,5389.5,9.89,0.04,3.287482766,0.201827664,0.090181216,0.610339124,0.081808243,2.506064042,34.05
"127","2","0","1","0","0","0","0","0","0","1","0","1",9.2552,7.407741935,0.001170856,358,1.64200974,0.025900059,0.218372545,0.003414688,0.005990328,0.040542055,5.44e-05,2.8,4.29
"3277","2","0","1","0","0","0","0","0","0","1","0","1",17.4,7.748,0.005661319,1731,7.939438155,0.125231848,1.055873953,0.064823024,0.028964409,0.196028764,0.000453,0.24,4
"1177","1","0","1","0","0","0","0","0","0","1","0","1",28.715,8.389007929,0.001570547,480.209,2.202535908,0.034741456,0.29291749,0.017983015,0.009356646,0.054381731,0.007289184,0.223292422,6.75
"2551","1","0","1","0","0","0","0","0","0","1","0","1",2.697295338,7.473833334,0.000379384,116,0.532047849,0.008392198,0.070757584,0.004344004,0.001941,0.013136532,0.001760786,0.053938849,6.875
"3304","3","1","0","1","1","0","0","0","0","0","0","1",4.666229497,7.473833334,0.000137199,41.95,0.192408683,0.003034937,0.025588626,0.001570957,0.000701939,0.004750668,0.000490339,0.019506334,37
"4","2","0","1","0","0","0","0","0","0","1","0","1",54.267632,8.658387097,0.000882495,269.830898,1.237611627,0.01952133,0.164591229,0.010104711,0.004515016,0.03055726,0.004095814,0.125468691,4.48
"165","1","1","0","1","1","0","0","0","0","0","0","1",47.21,7.316129032,0.002616701,1803,8.269674751,0.130440798,1.099792453,0.032841876,0.00088884,0.183433051,0.000157494,0.27,19.15
"1152","2","1","0","1","1","0","0","0","0","0","0","1",6.899,7.851,0.000813313,248.678,1.140591335,0.017990991,0.151688401,0.009312571,0.00416107,0.02816178,0.003774731,0.115632803,16.518
"3067","3","0","1","1","0","0","0","0","0","1","1","0",67.05,7.214776387,0.019363215,5920.48,27.15498833,0.428326199,3.611369508,0.221711967,0.099065977,0.670470467,0.089868089,29.99,27.506
"4743","4","0","1","0","0","0","0","0","0","1","0","1",31.888598,7.721644038,0.009115018,2787,12.78290823,0.038567784,1.700011962,0.104368438,0.000364876,0.315616502,0.000146709,0.189139,4.5
"756","2","0","1","0","0","0","0","0","0","1","0","1",11.97745621,7.473833334,0.001684669,515.103,2.362581405,0.037265916,0.314202103,0.019289737,0.006817716,0.058333336,0.007818846,0.239517786,9.01
"1874","3","0","1","0","0","0","0","0","0","1","0","1",16.80508006,7.473833334,0.002363691,722.72,3.314841562,0.052286286,0.44084415,0.027064642,0.012093101,0.081845123,0.010970304,0.336057631,1.3242
"78","2","0","1","0","0","0","0","0","0","1","0","1",12.160125,7.795985677,5.9e-05,1153,5.288372151,0.083415552,0.703305989,0.005244,0.000217,0.130572597,4.8e-05,0.29391,8.108
"2898","3","0","1","0","0","0","0","0","0","1","0","1",8.848268083,7.864285714,0.001244538,380.529,1.745341688,0.203627763,0.232114766,0.014250168,0.006367301,0.13,0.005776122,0.176942211,1.955
"1235","1","0","1","0","0","0","0","0","0","1","0","1",14.0079,7.438387097,0.001867614,571.04,2.619143133,0.041312764,0.348322508,0.0743,0.1427,0.0926,0.008667925,0.3601,3
"4068","2","0","1","1","0","0","0","0","0","1","1","0",3.710711051,7.473833334,0.000521924,159.583,0.731946481,0.011545277,0.097342307,0.005976114,0.002670264,0.018072131,0.002422341,0.074204512,23.65
"2052","3","1","0","1","1","0","0","0","0","0","0","1",262.173,7.612,0.001134,10176.4187,46.67535928,0.736228607,6.207403487,0.381089676,0.197827,0.44948,0.002968,4.731933757,31.657
"990","4","0","1","0","0","0","0","0","0","1","0","1",531.540216,7.127419355,0.016957792,5185,23.78162151,0.375116771,3.162742024,0.186667,0.086759366,0.587180325,0.078704099,11.173539,5.167
"842","1","0","1","0","0","0","0","0","0","1","0","1",12.11450672,7.578666667,0.001703946,520.997,2.38961494,0.037692326,0.31779732,0.019510457,0.008717718,0.059000808,0.007908312,0.242258437,1.5
"4590","1","0","1","0","0","0","0","0","0","1","0","1",42.47837888,7.293333333,0.005974726,1826.827,8.378960131,0.132164599,1.114326427,0.068411583,0.03056786,0.206880785,0.027729754,0.849456435,2.742
"2554","1","0","1","0","0","0","0","0","0","0","0","0",2.323929439,7.473833334,0.000326868,99.94301,0.458400547,0.00723053,0.060963155,0.003742697,0.001672323,0.011318143,0.001517054,0.046472508,0.1568
"2517","2","0","1","0","0","0","0","0","0","1","0","1",24.3829,7.170967742,0.001014649,310.2381,1.422944083,0.022444651,0.18923878,0.069,0.00519114,0.035133213,0.004709163,0.2834,1.22
"293","2","1","0","1","1","0","0","0","0","0","0","1",21.65463105,7.473833334,0.003045796,931.28,4.271426901,0.067374879,0.568061406,0.034874862,0.004876744,0.105463702,0.002611935,0.433035963,17.136
"1101","1","0","1","0","0","0","0","0","0","0","0","0",0.976740431,8.198,3.83e-05,11.6989,0.053658402,0.000846375,0.007136085,0.000438104,0.000195755,0.01411626,0.00017758,0.005439872,0.87
"3161","3","1","0","1","1","0","0","0","0","0","0","1",68.60843,7.242,0.007859127,2403,11.02164638,0.42957,1.465779958,0.089988288,0.040208825,0.272130052,0.047056136,4.259288,15.07
"783","2","1","0","1","1","0","0","0","0","0","0","1",11.109,7.333225806,0.000282971,86.521,0.396838896,0.006259494,0.052776008,0.003240065,0.002564171,0.009798154,0.001313319,0.040231407,12.6
"1879","3","0","1","0","0","0","0","0","0","1","0","1",30.01857186,7.473833334,0.004222212,1290.98,5.921233893,0.093397927,0.787470916,0.048345018,0.02160166,0.146198275,0.01959603,0.600292895,2.837
"1570","4","1","0","1","1","0","0","0","0","0","0","1",567.91,8.029,0.079134803,24196.19,110.9787141,1.750510448,14.75917202,0.90610641,0.404869066,2.740120868,0.367278559,4.75,21.931
"4541","2","0","1","1","0","0","0","0","0","1","1","0",26.48,7.199333333,0.002786147,851.89,3.907295188,0.061631288,0.83,0.03190184,0.014254472,0.09,0.012931,0.3961204,18.97
"4509","1","0","1","0","0","0","0","0","0","0","0","0",1.312141172,7.91,0.000184557,56.43,0.258822932,0.004082515,0.034421125,0.002113208,0.00094423,0.00639047,0.000856562,0.02623939,0.345
"3888","1","0","1","0","0","0","0","0","0","1","0","1",171.6755,7.182580645,0.006680426,3062.4285,14.04619392,0.221556083,1.868017611,0.11468277,0.051242884,0.0782,0.046485183,1.423998877,7.638
"2904","3","0","1","0","0","0","0","0","0","1","0","1",17.83526086,8.387333333,0.002508589,767.024,3.518047147,0.562,0.467868667,0.028723752,0.012834429,0.214,0.011642803,0.356658552,2.72
"2566","1","0","1","0","0","0","0","0","0","0","0","0",2.022971503,7.473833334,0.000284538,87,0.399035886,0.006294148,0.053068188,0.003258003,2.46304,0.009852399,0.00132059,0.040454137,0.3
"2973","2","0","1","0","0","0","0","0","0","1","0","1",23.64179364,7.766451613,0.003325297,1016.74,4.663399393,0.073557614,0.620190227,0.038075194,0.017012867,0.115141702,0.015433289,0.472774015,1.21
"2044","3","1","0","1","1","0","0","0","0","0","0","1",229.29,7.983870968,0.001392094,8542.1,39.17936145,0.617991316,5.210503114,0.319887204,0.281385,0.034402,0.003568778,3.971991772,22.483
"821","2","0","1","0","0","0","0","0","0","1","0","1",86.09383852,6.963064516,0.023866955,7297.54,33.47103842,0.527951715,4.451347431,0.273280536,0.016084647,0.826416954,0.27,1.190263877,3.08
"4800","3","1","0","1","1","0","0","0","0","0","0","1",81.696988,8.167858419,0.010904007,3334,27.447771,0.23678,2.033670571,0.124852664,0.055787025,0.377562045,0.01036,0.24006,11.11
"497","3","0","1","0","0","0","0","0","0","1","0","1",47.85813443,7.473833334,0.004489895,2058.189,9.440129565,0.148902838,1.255452429,0.077075699,0.034439185,0.233081598,0.00607879,0.95703747,2.5
"4046","3","1","0","1","1","0","0","0","0","0","0","1",2655.958776,7.749086022,0.103918199,31773.94,145.7349691,2.298734385,19.38144172,1.253,0.531665746,0.229732867,0.753527771,50.4194987,30
"72","2","0","1","0","0","0","0","0","0","1","0","1",11.4138,7.456206897,4.6e-05,1028,4.715044727,0.074372235,0.627058592,0.013175,0.000137551,0.116416851,1.5e-05,0.08,6.292
"1240","1","0","1","0","0","0","0","0","0","1","0","1",21.8144,7.27925,0.002799655,856.02,3.926237926,0.061930079,0.522154374,0.025339,0.0442,0.2856,0.01299369,0.105668,7.9
"4644","4","1","0","1","1","0","0","0","0","0","0","1",30.75,7.138642192,0.022454285,6865.603,31.48990781,0.08,4.187874856,0.257105225,0.017,0.777501832,0.220940556,6.84,25.76
"1510","3","0","1","0","0","0","0","0","0","1","0","1",25.25559,7.470967742,0.001095,1780.365873,8.165860625,0.128803298,1.085986107,0.066671692,0.029790437,0.32318,0.027024511,0.827852472,6.69
"2788","1","1","0","1","1","0","0","0","0","0","0","1",1.285,7.22,0.0004775,146,0.66964643,0.010562594,0.08905696,0.005467453,0.002442983,0.02,0.002216162,0.067888552,1.1
"790","2","1","0","1","1","0","0","0","0","0","0","1",58.05716356,7.333225806,0.012065088,3689.011,16.92008936,0.266887154,2.250219888,0.138147225,0.109329022,0.417765608,0.055996198,1.715353524,29.31
"439","1","0","1","0","0","0","0","0","0","1","0","1",18.0402088,6.924672043,0.002537415,775.838,3.55847361,0.056129189,0.473245023,0.108,0.021212861,0.087860522,0.028283815,0.360756975,1.2
"1724","3","1","0","1","1","0","0","0","0","0","0","1",26.31260433,7.473833334,0.003700955,1131.601,5.190223082,0.081867409,0.690253045,0.042376544,0.018934809,0.128149246,0.017176786,0.526183241,14.9273
"1778","1","0","1","0","0","0","0","0","0","1","0","1",19.73901656,7.9305,0.002776358,848.897,3.893567436,0.061414754,0.517809492,0.031789758,0.032664242,0.096134159,0.012885569,0.394728685,3.345
"1452","2","0","1","0","0","0","0","0","0","0","0","0",59.42,6.978064516,0.001968029,601.743,2.759966108,0.04353402,0.367050699,0.022534258,0.010068822,0.068144966,0.009133971,0.81,0.482
"1719","3","1","0","1","1","0","0","0","0","0","0","1",56.354,7.473833334,0.034661596,10598.1,48.6094509,0.766735787,6.464620298,0.396880928,0.177335475,1.200192054,0.160870571,4.928011379,21.123
"4515","2","1","0","1","1","0","0","0","0","0","0","1",0.007,7.404666667,1.82e-06,0.556,0.00255016,4.02e-05,0.000339148,2.08e-05,9.3e-06,6.3e-05,8.44e-06,0.000258534,6.285
