"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Cu","Cr","Ni","Zn","NH3N","HWsum"
"381","5","1","0","1","0","0","0","0","0","1","1","0",3818.452528,7.485,4.118191348,127341.8176,693.3320588,4.527410926,3.170961583,2.846418764,8.786103857,3.296640355,35.86405267,42.662
"902","3","0","1","1","0","0","0","0","0","0","1","0",24.42137509,7.485,0.026338391,814.43,4.43428906,0.028955604,0.020280268,0.018204616,0.05619259,0.021084062,0.229372888,51.04
"129","3","0","1","0","0","0","0","0","0","1","1","0",1360.401061,8.466774194,1.467189087,45368.102,247.0135903,1.612981851,1.129719296,1.014094343,3.130227473,1.174494904,12.77729524,25.5
"631","2","0","0","1","0","0","0","0","0","0","0","0",83.67317305,7.306428571,0.090241304,2790.422,15.1928806,0.099208471,0.057,0.036,0.045,0.293,0.785883565,11.16
"345","2","0","1","0","0","0","0","0","0","0","1","0",2.27460657,7.485,0.002453157,75.856,0.413009627,0.002696925,0.001888904,0.001695578,0.005233777,0.001963769,0.021363788,2.65
"409","2","0","0","0","0","0","0","0","0","0","1","0",6.174086332,7.485,0.006658736,205.9,1.121054133,0.007320407,0.005127153,0.004602397,0.014206321,0.005330364,0.057988873,6.194
"245","3","1","0","1","0","0","0","0","0","0","1","0",734.7934,7.641612903,0.303496859,9384.6639,51.09624211,0.333654966,0.23368921,0.4328,0.64750632,0.242951313,2.643060125,38.819
"174","1","0","0","0","0","0","0","0","0","0","1","0",3.39e-05,7.485,3.66e-08,0.001132,6.16e-06,4.02e-08,2.82e-08,2.53e-08,7.81e-08,2.93e-08,3.19e-07,13.022
"889","5","0","1","1","0","0","0","0","0","0","0","0",1046.62,7.225666667,2.608489977,80659.16,435.9797,3.0847,2.008508301,1.802940706,5.565177018,2.088114077,16.26972,282.438
"550","5","0","1","0","0","0","0","0","0","0","0","0",1583.693,7.485,1.116277817,34517.3,187.9347344,1.227200963,0.859521517,0.771550872,2.381563169,0.893588032,21.307297,67.38
"886","5","0","1","1","0","0","0","0","0","0","0","0",771.16,7.972,2.19343758,67825,36.94,1.64,1.688922566,1.516064058,4.679668512,1.755861792,0.84059,134.415
"796","2","0","1","1","0","0","0","0","0","0","1","0",58.43894156,7.485,0.06302625,1948.884,10.61099788,0.06928909,0.048529512,0.043562595,0.134465626,0.050452944,0.548876086,241.48
"827","4","0","1","0","0","0","0","0","0","1","0","0",60.73863467,7.570666667,0.085238294,2635.72,15.97032221,0.274934175,0.065632539,0.058915155,0.181854713,0.068233838,1.220220216,96
"821","4","0","1","0","0","0","0","0","0","1","0","0",24.65045,7.54,0.05617758,1737.11091,10.395496,0.175656,0.043256112,0.038828919,0.119854084,0.044970537,1.03785,37.6
"92","1","0","0","1","0","0","0","0","0","0","1","0",0.026387547,7.485,2.85e-05,0.88,0.004791295,3.13e-05,2.19e-05,1.97e-05,6.07e-05,2.28e-05,0.00024784,5
"640","3","0","1","0","0","0","0","0","0","0","1","0",49.56660858,7.485,0.053457461,1653,9.000012052,0.058769463,0.041161651,0.036948823,0.114050749,0.042793064,0.465544471,12.03
"783","4","0","1","1","0","0","0","0","0","0","1","0",0.204,7.156724138,0.000800924,24.766,0.04,0.000462715,0.000616703,0.000560539,0.00170876,0.000641145,0.003,88.559
"790","4","0","1","1","0","0","0","0","0","0","1","0",2.195381,7.705058593,0.003,283.4274,0.484008,0.011006,0.007057677,0.003,0.019555419,0.007337403,0.004001,264.757
"263","3","1","0","1","0","0","0","0","0","0","1","0",650.59,7.164827586,0.430325449,13306.43,72.4488992,0.473086357,0.331345815,0.57,0.91809335,0.344478467,3.747571028,71.652
"189","5","0","0","1","0","0","0","0","0","1","1","0",111.6004336,7.485,0.120360784,3721.77,20.26374764,0.132320886,0.092676466,0.083191179,0.256788056,0.096349631,1.048184782,37.84
"601","4","1","1","0","0","0","0","0","0","1","1","0",27.491,7.086129032,0.034567541,1068.89,5.819735561,0.038002475,0.026616623,0.023892454,0.073749368,0.027671553,0.301038009,3.484
"656","1","0","0","0","0","0","0","0","0","0","1","0",10.34511794,7.485,0.011157183,345,1.878405419,0.012265859,0.008590907,0.007711642,0.023803695,0.008931402,0.097164454,45.16
"60","1","0","0","0","0","0","0","0","0","0","1","0",12.74398587,7.485,0.013744356,425,2.31397769,0.015110116,0.010583002,0.009499848,0.029323393,0.011002451,0.119695342,49.25
"600","4","1","1","0","0","0","0","0","0","1","1","0",25.931,7.110322581,0.031967109,988.48,5.381930982,0.035143641,0.024614319,0.022095083,0.068201382,0.02558989,0.278391651,3.404
"91","1","0","0","1","0","0","0","0","0","0","1","0",0.027107208,7.485,2.92e-05,0.904,0.004921967,3.21e-05,2.25e-05,2.02e-05,6.24e-05,2.34e-05,0.000254599,1.54
"740","1","0","1","1","0","0","0","0","0","0","1","0",5.255739717,7.485,0.005668302,175.274,0.954306178,0.006231554,0.00436453,0.003917827,0.012093243,0.004537514,0.049363486,18.7
"473","1","0","0","0","0","0","0","0","0","0","1","0",1.241414153,7.485,0.001338862,41.4,0.22540865,0.001471903,0.001030909,0.000925397,0.002856443,0.001071768,0.011659734,8.669
"885","5","0","1","1","0","0","0","0","0","0","0","0",713.89,7.993225806,1.936304926,59874,45.9659,1.7563,1.49093328,1.338338657,4.13107958,1.550025344,5.5994,119.058
"128","3","0","1","0","0","0","0","0","0","1","1","0",151.706117,8.007333333,0.163614662,5059.257,27.54590077,0.179872848,0.125981472,0.113087471,0.349069601,0.130974656,1.424869402,21.6
"78","1","0","1","1","0","0","0","0","0","0","1","0",12.26112374,7.485,0.013223591,408.897,2.226302437,0.014537603,0.010182018,0.009139905,0.028212347,0.010585575,0.115160156,55.51
"521","2","0","1","0","0","0","0","0","0","0","1","0",537.183293,7.485,0.579350816,17914.56,97.53856982,0.63692019,0.446093692,0.40043672,1.236036894,0.463774293,5.045386782,151.48
"413","2","0","0","0","0","0","0","0","0","0","1","0",16.095984,7.485,0.017359478,536.786,2.922613714,0.019084468,0.013366605,0.011998555,0.037036204,0.013896381,0.151178315,8.664
"788","4","0","1","1","0","0","0","0","0","0","1","0",0.099559129,6.89516129,0.000363304,11.234,0.035,0.00020989,0.00027974,0.000254264,0.000775104,0.000290827,0.000943868,188.706
"587","4","1","1","0","0","0","0","0","0","1","1","0",4.943,7.376774194,0.009728223,300.814,1.637827965,0.010694905,0.007490624,0.00672397,0.020755028,0.007787509,0.084720081,1.28
"830","2","0","0","0","0","0","0","0","0","0","1","0",8.467164185,7.03,0.009131815,282.372,1.537417667,0.010039232,0.007031396,0.006311744,0.0194826,0.00731008,0.079526148,9.855
"709","4","0","1","0","0","0","0","0","0","0","1","0",55.12253663,7.485,0.059449516,1838.285,10.00882466,0.06535694,0.045775467,0.041090421,0.126834713,0.037,0.517727415,39.512
"42","2","0","0","0","0","0","0","0","0","0","1","0",5.72729718,7.485,0.006176875,191,1.039928797,0.006790664,0.004756125,0.004269344,0.013178278,0.004944631,0.053792495,46.24
"594","4","1","1","0","0","0","0","0","0","1","1","0",7.284,7.757666667,0.011234249,347.383,1.891380028,0.012350582,0.008650247,0.007764908,0.023968113,0.008993093,0.097835593,2.258
"498","1","0","0","0","0","0","0","0","0","0","1","0",15.66070941,7.485,0.016890035,522.27,2.843579126,0.018568377,0.01300514,0.011674084,0.036034655,0.013520589,0.147090085,94.168
"781","4","0","1","1","0","0","0","0","0","0","1","0",0.186,7.65740319,0.001,29.191,0.046,0.001,0.00072689,0.001,0.002014069,0.0007557,0.001,67.957
"222","4","0","0","1","0","0","0","0","0","0","1","0",213.06,7.68516129,0.094323475,2916.65,15.88014831,0.103696282,0.072628028,0.065194666,0.20123782,0.075506587,0.821433926,65.73
"665","4","0","1","0","0","0","0","0","0","1","1","0",3.442,7.485,0.005034445,155.674,0.847590972,0.005534711,0.003876466,0.003479716,0.010740917,0.004030107,0.043843418,4.71
"425","2","0","1","1","0","0","0","0","0","1","0","0",85.13342393,7.485,0.091816181,2839.12,15.45802433,0.100939842,0.07069744,0.06346167,0.195888544,0.073499481,0.79959868,24.618
"552","5","0","1","0","0","0","0","0","0","0","0","0",4870.814,7.485,1.257777745,38892.73,211.7574342,1.382761563,0.968474889,0.869353042,2.683451293,1.006859692,16.44774,112.223
"705","4","0","0","0","0","0","0","0","0","0","1","0",18.54204966,7.485,0.019997553,618.36,3.36675587,0.021984686,0.015397894,0.013821944,0.042664502,0.016008178,0.174152498,265.818
"380","5","1","0","1","0","0","0","0","0","1","1","0",1353.661232,7.485,1.459920198,45143.335,245.7898119,1.604990662,1.124122332,1.009070219,3.1147194,1.168676109,12.71399274,41.51
"395","2","0","0","0","0","0","0","0","0","0","1","0",1.066056908,7.485,0.00114974,35.552,0.193568317,0.001263988,0.000885287,0.000794679,0.002452954,0.000920374,0.010012727,20.55
"191","5","0","0","1","0","0","0","0","0","1","1","0",7.826906335,7.485,0.008441299,261.02,1.421163428,0.0092801,0.006499706,0.005834472,0.018009393,0.006757317,0.073512654,57.69
"572","3","0","0","0","0","0","0","0","0","1","1","0",182.2564,7.443790067,0.211814241,6549.6739,35.6607042,0.23286196,0.163094612,0.146402141,0.451902731,0.169558749,1.844624603,149.2272
"434","4","0","0","0","0","0","0","0","0","0","1","0",341.6947478,7.485,0.368516917,11395.2,62.0429143,0.405135987,0.283753932,0.254712173,0.786225708,0.295000314,3.209299668,170.84
"7","3","1","1","0","0","0","0","0","0","0","1","0",2.198055834,7.195215054,0.001843361,57,0.206254997,0.007331161,0.001419367,0.001274097,0.003932784,0.001475623,0.048112165,94.215
"618","3","0","1","0","0","0","0","0","0","1","1","0",2.14038991,7.485,0.002308405,71.38,0.388639359,0.002537788,0.001777446,0.001595527,0.00492495,0.001847894,0.020103185,1.768
"495","1","0","0","0","0","0","0","0","0","0","1","0",6.26751669,7.485,0.006759501,209.015815,1.138018666,0.007431184,0.005204741,0.004672044,0.014421301,0.005411027,0.058866399,30.11
"96","3","0","1","0","0","0","0","0","0","1","1","0",32.012,7.420645161,0.011217109,346.853,3.518,0.012331739,0.008637049,0.007753061,0.023931545,0.008979372,0.843,271.665
"37","2","0","0","0","0","0","0","0","0","0","1","0",6.926731145,7.485,0.007470462,231,1.257714933,0.008212792,0.005752173,0.005163447,0.015938126,0.005980156,0.065057939,18.18
"737","1","0","1","1","0","0","0","0","0","0","1","0",7.88624833,7.485,0.008505299,262.999,1.431938397,0.00935046,0.006548986,0.005878707,0.018145936,0.00680855,0.074070012,9.2
"310","2","0","0","0","0","0","0","0","0","0","1","0",0.000686676,7.485,7.41e-07,0.0229,0.000124683,8.14e-07,5.7e-07,5.12e-07,1.58e-06,5.93e-07,6.45e-06,25.362
"516","2","0","1","0","0","0","0","0","0","0","1","0",3.520050821,7.485,0.003796366,117.3904,0.639150039,0.004173606,0.00292316,0.002623979,0.008099494,0.003039017,0.033061374,2.2726
"794","2","0","1","1","0","0","0","0","0","0","1","0",19.72271248,7.485,0.021270895,657.734,3.581133652,0.023384558,0.016378353,0.014702055,0.045381159,0.017027497,0.185241638,192.26
"282","4","1","0","0","0","0","0","0","0","0","1","0",4.317962272,8.23483871,0.004656911,144,0.784030088,0.005119663,0.00358577,0.003218772,0.009935455,0.003727889,0.040555598,14.744
"136","1","0","0","1","0","0","0","0","0","0","1","0",70.46031644,7.485,0.075991272,2349.7856,12.79376813,0.083542431,0.058512435,0.052523782,0.16212632,0.060831533,0.661784448,148
"422","2","0","1","1","0","0","0","0","0","1","0","0",677.5344587,7.485,0.730719192,22595.14,123.0227056,0.803329854,0.562645659,0.505059781,1.558979214,0.584945714,6.363607071,8
"872","1","0","0","0","0","0","0","0","0","0","1","0",0.01318055,8.298709677,1.42e-05,0.439559,0.002393246,1.56e-05,1.09e-05,9.83e-06,3.03e-05,1.14e-05,0.000622,0.3
"406","2","0","0","0","0","0","0","0","0","0","1","0",6.218465389,7.485,0.006706599,207.38,1.12911222,0.007373026,0.005164007,0.004635479,0.014308436,0.005368678,0.058405694,5.132
"657","4","0","1","0","0","0","0","0","0","1","1","0",6.722,7.485,0.005827898,180.209,0.981175543,0.006407009,0.004487417,0.004028137,0.01243374,0.004665272,0.05075336,0.325
"675","2","0","0","0","0","0","0","0","0","0","1","0",7.552265943,7.485,0.0081451,251.861,1.371295847,0.008954468,0.006271636,0.005629744,0.017377457,0.006520208,0.070933149,251.44
"390","5","1","0","1","0","0","0","0","0","1","1","0",3032.459355,7.485,3.270499708,101129.681,550.6160604,3.595485217,2.518248439,2.260509761,6.977565555,2.618057397,28.48176878,122.754
"402","2","0","0","0","0","0","0","0","0","0","1","0",8.977763224,7.485,0.009682495,299.4,1.630129225,0.010644632,0.007455413,0.006692364,0.020657468,0.007750903,0.084321848,2.04
"430","5","0","1","0","0","0","0","0","0","0","1","0",141.6413967,7.485,0.152759886,4723.608,25.71840831,0.167939447,0.117623415,0.105584848,0.325911089,0.122285334,1.330338527,1
"806","3","0","0","0","0","0","0","0","0","0","1","0",90.80950528,7.485,0.097937821,3028.412,16.48865366,0.107669781,0.075411034,0.067692836,0.208948976,0.078399896,0.85291014,52.97
"108","2","1","0","1","0","0","0","0","0","0","1","0",6.0652377,7.485,0.006541343,202.27,1.101290041,0.007191349,0.005036762,0.004521257,0.013955865,0.00523639,0.056966534,35.91
"115","2","1","0","1","0","0","0","0","0","0","1","0",4.03732471,7.485,0.004354244,134.641,0.733073577,0.00478692,0.00335272,0.003009574,0.00928972,0.003485602,0.037919766,92.06
"387","5","1","0","1","0","0","0","0","0","1","1","0",4249.511655,7.485,4.583087521,141717.236,771.6012293,5.038503256,3.528926471,3.167746522,9.777953364,3.668792923,39.91268942,94
"653","1","0","0","0","0","0","0","0","0","0","1","0",14.93295286,7.485,0.016105152,498,2.711437388,0.017705501,0.012400788,0.011131587,0.034360117,0.012892284,0.140254777,24.39
"318","2","0","0","0","0","0","0","0","0","0","1","0",0.003280452,7.485,3.54e-06,0.1094,0.000595645,3.89e-06,2.72e-06,2.45e-06,7.55e-06,2.83e-06,3.08e-05,35.518
"417","2","0","0","0","0","0","0","0","0","0","1","0",2.059068287,7.485,0.0022207,68.668,0.373873459,0.002441368,0.001709914,0.001534907,0.004737832,0.001777685,0.019339388,13.873
"795","2","0","1","1","0","0","0","0","0","0","1","0",47.61126135,7.485,0.051348624,1587.791,8.644971649,0.056451074,0.03953787,0.035491233,0.109551575,0.041104925,0.447179262,226.58
"580","3","0","0","0","0","0","0","0","0","1","1","0",343.76,7.26483871,0.830181763,25670.7,139.7680638,0.912675897,0.639230734,0.573806496,1.771181223,0.664566182,7.22979579,204.901
"467","1","0","0","0","0","0","0","0","0","0","1","0",1.115430587,7.485,0.001202989,37.198566,0.202533298,0.001322529,0.000926288,0.000831484,0.00256656,0.000963001,0.010476459,1.69
"10","3","1","1","0","0","0","0","0","0","0","1","0",70.117505,7.013636364,0.099897216,3089,7.144113,0.311379,0.076919747,0.069047134,0.213129319,0.079968405,1.939595,98.183
"824","4","0","1","0","0","0","0","0","0","1","0","0",97.19599,8.16,0.101029428,3124.01,27.758557,0.735943,0.077791537,0.069829698,0.215544876,0.080874748,0.497957,44.25
"789","4","0","1","1","0","0","0","0","0","0","1","0",11.547,6.811935484,0.023,711.201,1.172,0.004,0.017709744,0.011,0.04907018,0.018411657,0.05,229.187
"666","4","0","1","0","0","0","0","0","0","1","1","0",20.853,7.485,0.02057873,636.331,3.464601736,0.022623612,0.015845393,0.014223643,0.043904433,0.016473414,0.17921378,9.065
"681","4","0","1","0","0","0","0","0","0","0","1","0",0.012534085,7.485,1.35e-05,0.418,0.002275865,1.49e-05,1.04e-05,9.34e-06,2.88e-05,1.08e-05,0.000117724,272.9555
"97","3","0","1","0","0","0","0","0","0","1","1","0",26.933,7.367666667,0.012603575,389.725,6.653,0.013855976,0.009704613,0.008711361,0.026889551,0.010089248,0.93,272.7005
"458","1","0","0","0","0","0","0","0","0","0","1","0",32.43499431,7.485,0.034981059,1081.6767,5.889354711,0.038457083,0.026935027,0.02417827,0.074631602,0.028002577,0.304639205,191.58
"311","2","0","0","0","0","0","0","0","0","0","1","0",0.005076604,7.485,5.48e-06,0.1693,0.00092178,6.02e-06,4.22e-06,3.78e-06,1.17e-05,4.38e-06,4.77e-05,25.727
"396","2","0","0","0","0","0","0","0","0","0","1","0",0.580834893,7.485,0.000626429,19.3703,0.10546457,0.000688676,0.000482343,0.000432976,0.001336477,0.000501461,0.005455376,21.258
"825","4","0","1","0","0","0","0","0","0","1","0","0",4.22215,7.549677419,0.021493263,664.61,1.878316,0.043121,0.016549574,0.014855751,0.045855577,0.017205504,0.142891,60.7
"628","2","0","0","1","0","0","0","0","0","0","0","0",77.10111453,8.100967742,0.083153356,2571.25,13.99956503,0.091416202,0.03,0.02,0.08,0.05,0.724156818,8.25
"331","5","1","0","0","0","0","0","0","0","0","0","0",184.158,7.485,0.359859945,11127.511,60.58544048,0.441,0.27708816,0.248728632,0.767756179,0.288070349,0.769,165.086
"186","5","0","1","1","0","0","0","0","0","1","1","0",125.178326,8.192,0.135004506,4174.58,22.72914115,0.148419737,0.10395197,0.093312653,0.288030233,0.108072031,1.175712423,60.211
"691","2","0","0","0","0","0","0","0","0","0","1","0",19.34404518,7.485,0.020862504,645.1058,3.51237748,0.022935585,0.016063896,0.014419782,0.044509861,0.016700577,0.181685081,39.891
"630","2","0","0","1","0","0","0","0","0","0","0","0",87.95056446,7.511428571,0.09485446,2933.069,15.96954407,0.104280031,0.118,0.026,0.308,0.315,0.826058109,10.82
"742","1","0","1","1","0","0","0","0","0","0","1","0",25.08232318,7.485,0.027051222,836.472,4.55430011,0.029739268,0.02082914,0.018697311,0.057713405,0.021654688,0.23558071,21.5
"773","1","0","1","0","0","0","0","0","0","0","0","0",9.364070918,7.485,0.010099127,312.283,1.700272694,0.011102664,0.007776215,0.006980332,0.021546346,0.00808442,0.087950166,240.294
"659","4","0","1","0","0","0","0","0","0","1","1","0",4.614,7.485,0.004110662,127.109,0.692064448,0.004519134,0.003165164,0.002841215,0.00877004,0.003290613,0.035798483,0.858
"504","2","1","0","0","0","0","0","0","0","1","1","0",7.807415533,7.485,0.008420278,260.37,1.417624403,0.00925699,0.00648352,0.005819942,0.017964545,0.00674049,0.073329591,69.77
"565","3","0","0","0","0","0","0","0","0","1","1","0",89.4335,7.528,0.16660718,5151.791,28.04971633,0.183162729,0.128285678,0.115155845,0.355454097,0.133370188,1.450930317,105.716
"141","1","0","0","0","0","0","0","0","0","0","1","0",8.63,7.375,0.001649323,51,0.277677323,0.001813214,0.00126996,0.001139982,0.003518807,0.001320294,0.014363441,0.492
"837","5","1","0","1","0","0","0","0","0","0","0","0",34.54369818,7.485,0.037255291,1152,6.272240704,0.040957303,0.02868616,0.025750178,0.079483644,0.029823115,0.324444785,7.35
"591","4","1","1","0","0","0","0","0","0","1","1","0",6.124,7.097,0.006589012,203.744,1.10931546,0.007243754,0.005073466,0.004554205,0.014057566,0.005274549,0.057381665,2.105
"765","4","0","0","0","0","0","0","0","0","0","1","0",160.1173876,7.485,0.172686196,5339.765,29.0731696,0.189845809,0.132966452,0.119357549,0.368423592,0.138236481,1.503870581,118.751
"272","1","1","0","0","0","0","0","0","0","0","1","0",0.411375864,7.485,0.000443668,13.719,0.0746952,0.000487755,0.000341619,0.000306655,0.000946559,0.000355159,0.003863766,26.22
"57","1","0","0","0","0","0","0","0","0","0","1","0",10.46506134,7.485,0.011286542,349,1.900184033,0.012408072,0.008690512,0.007801052,0.02407968,0.009034954,0.098290998,33.96
"420","2","0","1","1","0","0","0","0","0","1","0","0",747.2146753,7.485,0.805869128,24918.91,135.6748278,0.885947346,0.620510275,0.557002047,1.719310556,0.645103752,7.018064588,1.006
"410","2","0","0","0","0","0","0","0","0","0","1","0",9.013326441,7.485,0.00972085,300.586,1.636586584,0.010686798,0.007484946,0.006718874,0.020739297,0.007781607,0.084655868,6.439
"617","3","0","1","0","0","0","0","0","0","1","1","0",1.959875098,7.485,0.00211372,65.36,0.355862546,0.002323758,0.001627541,0.001460965,0.004509593,0.001692048,0.018407735,1.59
"253","3","1","0","1","0","0","0","0","0","0","1","0",445.01,7.407096774,0.271749534,8402.98,45.75131354,0.298752948,0.209244122,0.94,0.579773843,0.217537361,2.366582502,54.99
"710","4","0","1","0","0","0","0","0","0","0","1","0",15.69369385,7.485,0.016925609,523.37,2.849568244,0.018607486,0.013032531,0.011698672,0.036110551,0.001,0.147399885,44.837
"503","2","1","0","0","0","0","0","0","0","1","1","0",4.087970809,7.485,0.004408866,136.33,0.742269597,0.00484697,0.003394778,0.003047328,0.009406254,0.003529328,0.038395449,65.67
"694","4","0","0","0","0","0","0","0","0","0","1","0",17.56265185,7.485,0.018941275,585.698,3.188922601,0.020823446,0.014584572,0.013091864,0.040410947,0.015162621,0.1649537,163.48
"879","1","0","0","0","0","0","0","0","0","0","1","0",0.002453352,8.015806452,2.65e-06,0.081817,0.000445465,2.91e-06,2.04e-06,1.83e-06,5.65e-06,2.12e-06,7.4e-05,7.34
"338","4","1","1","0","0","0","0","0","0","0","0","0",178.11,7.485,0.135791007,4198.9,22.86155512,0.149284391,0.104557567,0.093856268,0.289708221,0.10870163,1.182561813,3.17
"348","2","0","1","0","0","0","0","0","0","0","1","0",1.137693101,7.485,0.001226999,37.941,0.206575594,0.001348925,0.000944776,0.000848079,0.002617786,0.000982221,0.010685555,5.215
"637","2","0","0","1","0","0","0","0","0","0","0","0",79.39740086,7.451724138,0.085629895,2647.829,14.41651114,0.094138832,0.308,0.172,0.235,1.459,0.745724229,36.31
"134","3","0","1","0","0","0","0","0","0","1","1","0",1313.226034,8.466774194,1.41631094,43794.859,238.4478275,1.557048006,1.090543688,0.978928295,3.021679656,1.1337666,12.33421322,33.9
"143","1","0","0","0","0","0","0","0","0","0","1","0",6.48091,7.628387097,0.003042839,94.09,0.512287437,0.003345202,0.002342952,0.002103155,0.006491854,0.002435813,0.02649914,1.05
"797","2","0","1","1","0","0","0","0","0","0","1","0",15.02500941,7.485,0.016204434,501.07,2.728152474,0.017814649,0.012477235,0.01120021,0.034571935,0.012971761,0.1411194,270.74
"525","2","0","1","0","0","0","0","0","0","0","1","0",110.7743685,7.485,0.119469875,3694.2215,20.11375561,0.131341449,0.091990476,0.082575399,0.254887313,0.095636452,1.04042613,275.944
"592","4","1","1","0","0","0","0","0","0","1","1","0",39.793,7.0563741,0.028727936,888.319,4.836589054,0.031582596,0.022120192,0.019856226,0.061290652,0.02299691,0.250182697,2.205
"655","1","0","0","0","0","0","0","0","0","0","1","0",0.419801888,7.485,0.000452755,14,0.076225147,0.000497745,0.000348617,0.000312936,0.000965947,0.000362434,0.003942905,34.749
"671","2","0","0","0","0","0","0","0","0","0","1","0",55.22946617,7.485,0.059564839,1841.851,10.02824029,0.065483723,0.045864264,0.04117013,0.127080754,0.047682061,0.518731729,218.04
"82","1","0","1","1","0","0","0","0","0","0","1","0",17.2215928,7.485,0.018573444,574.324,3.126995113,0.020419064,0.014301346,0.012837626,0.039626184,0.014868169,0.161750371,111.39
"512","2","0","1","0","0","0","0","0","0","0","1","0",0.002554794,7.485,2.76e-06,0.0852,0.000463884,3.03e-06,2.12e-06,1.9e-06,5.88e-06,2.21e-06,2.4e-05,0.18
"342","4","1","1","0","0","0","0","0","0","0","0","0",185.54,7.485,0.209593026,6480.99,35.28674417,0.230420026,0.161384302,0.144866878,0.447163801,0.167780652,1.825280737,7.07
"323","5","1","0","0","0","0","0","0","0","0","0","0",332.576,7.485,0.575284427,17788.82,96.8539591,0.577,0.442962617,0.397626106,1.22736131,0.460519121,2.028,56.875
"762","4","0","0","0","0","0","0","0","0","0","1","0",10.37828229,7.485,0.011192951,346.106,1.884427206,0.012305181,0.008618448,0.007736364,0.023880005,0.008960034,0.097475943,87.7855
"548","5","0","1","0","0","0","0","0","0","0","0","0",300.972,7.485,0.976331164,30189.9,164.3735414,1.073347983,0.751764149,0.674822297,2.082988933,0.781559778,3.727596,11.5
"6","3","1","1","0","0","0","0","0","0","0","1","0",2.737929197,7.195215054,0.002296116,71,0.256914119,0.009131797,0.001767984,0.001587034,0.004898732,0.001838057,0.059929187,70.404
"648","3","0","1","0","0","0","0","0","0","0","1","0",63.74991521,7.485,0.068754122,2126,11.57533311,0.075586134,0.05293991,0.047521595,0.14668596,0.055038145,0.598758345,43.7
"700","4","0","0","0","0","0","0","0","0","0","1","0",3.740284889,7.485,0.004033888,124.735,0.67913884,0.00443473,0.003106049,0.00278815,0.008606243,0.003229155,0.035129879,205.04
"888","5","0","1","1","0","0","0","0","0","0","0","0",858.27,7.962258065,2.347568409,72591,63.3632,3.57,1.807601593,1.622596476,5.008504489,1.879244576,0.53,147.634
"507","2","1","0","0","0","0","0","0","0","1","1","0",2.026264667,7.485,0.002185321,67.57403,0.367917171,0.002402474,0.001682673,0.001510454,0.004662353,0.001749365,0.019031286,153
"907","3","0","1","1","0","0","0","0","0","0","1","0",32.93135907,7.485,0.035516387,1098.23,5.979481692,0.039045607,0.027347223,0.024548279,0.075773717,0.028431111,0.309301212,80.42
"123","3","0","1","0","0","0","0","0","0","1","1","0",1480.853227,8.466774194,1.597096442,49385.069,268.8845833,1.75579794,1.229746516,1.103883938,3.407383006,1.278486631,13.90861815,17.18
"187","5","0","1","1","0","0","0","0","0","1","1","0",158.5456793,7.889354839,0.170991112,5287.35,28.7877881,0.187982287,0.131661257,0.118185939,0.364807155,0.136879555,1.489108625,93.504
"264","3","1","0","1","0","0","0","0","0","0","1","0",484.1772,7.609032258,0.325322034,10059.5372,54.77069331,0.357648881,0.250494351,0.8524,0.694070025,0.260422514,2.833128808,71.952
"736","1","0","1","1","0","0","0","0","0","0","1","0",9.74591072,7.485,0.01051094,325.017,1.769604911,0.011555399,0.008093307,0.00726497,0.022424944,0.008414079,0.09153652,7.5
"405","2","0","0","0","0","0","0","0","0","0","1","0",9.794727683,7.485,0.010563589,326.645,1.778468806,0.01161328,0.008133846,0.00730136,0.02253727,0.008456225,0.091995023,4.88
"690","2","0","0","0","0","0","0","0","0","0","1","0",20.28743298,7.485,0.021879945,676.5669,3.683672265,0.024054128,0.016847314,0.015123019,0.046680558,0.017515046,0.190545662,35.43
"499","1","0","0","0","0","0","0","0","0","0","1","0",15.98252417,7.485,0.017237112,533.002221,2.902012349,0.018949942,0.013272385,0.011913977,0.036775138,0.013798426,0.150112666,111.447
"161","3","0","1","0","0","0","0","0","0","0","1","0",7.7051,7.485,0.002841363,87.86,0.478367247,0.003123705,0.002187818,0.001963898,0.006062008,0.00227453,0.024744548,213.1
"81","1","0","1","1","0","0","0","0","0","0","1","0",26.17851586,7.485,0.028233463,873.029,4.753340304,0.031038987,0.021739453,0.019514455,0.0602357,0.02260108,0.245876481,110.124
"170","1","0","0","0","0","0","0","0","0","0","1","0",1.99e-05,7.485,2.15e-08,0.000665,3.62e-06,2.36e-08,1.66e-08,1.49e-08,4.59e-08,1.72e-08,1.87e-07,11.309
"575","3","0","0","0","0","0","0","0","0","1","1","0",84.63,7.212,0.178397218,5516.36,30.03466817,0.196124329,0.137363876,0.123304904,0.380607979,0.142808194,1.553606108,166.349
"250","3","1","0","1","0","0","0","0","0","0","1","0",589.62,7.398064516,0.342066631,10577.31,57.58978674,0.376057369,0.263387505,1.34,0.729794391,0.273826679,2.978952319,49.788
"164","3","0","1","0","0","0","0","0","0","0","1","0",7.286596,7.485,0.003985457,123.23742,0.670985036,0.004381486,0.003068757,0.002754675,0.008502916,0.003190385,0.034708106,239.189
"834","5","1","0","1","0","0","0","0","0","0","0","0",30.10579251,7.485,0.032469021,1004,5.466432003,0.035695427,0.025000785,0.022441995,0.069272203,0.025991673,0.282762643,3.91
